Document,Terme,Frequence,Poid
1,18,1,0.565909017147027
1,edit,4,1.4178437779965243
1,dewey,3,1.5665449229653912
1,decim,2,0.982483187415549
1,class,2,0.4978710884287293
1,pres,1,0.186317505997247
1,study,1,0.17545995052595345
1,hist,2,0.6611096473669597
1,first,2,0.48747004080393636
1,ddc,2,1.2334338101770548
1,publ,1,0.20201067831787864
1,1876,1,0.6408702713486026
1,eighteen,1,0.6167169050885274
1,1971,1,0.43136122496691015
1,fut,1,0.30350169701850216
1,continu,1,0.34100264951924825
1,appear,1,0.3148773895116402
1,nee,1,0.20802580488989758
1,spit,1,0.5803330184572565
1,long,1,0.3908992088808837
1,healthy,1,0.7911625539835742
1,lif,1,0.4240162534231529
1,howev,1,0.28771330156332897
1,ful,1,0.34420124825492365
1,story,1,0.6408702713486026
1,nev,1,0.49817519031462515
1,told,1,0.6408702713486026
1,biograph,1,0.6408702713486026
1,brief,1,0.36193302883527134
1,describ,1,0.17815283346205857
1,system,1,0.1417202799261823
1,attempt,1,0.2757798133864285
1,provid,1,0.20408238223956765
1,detail,1,0.29727038231994374
1,work,1,0.20373333365471574
1,spur,1,0.6720307678514121
1,grow,1,0.2933312607031323
1,libr,1,0.13548815655691365
1,country,1,0.37876678504577693
1,abroad,1,0.6167169050885274
2,us,8,0.4471962800085792
2,mad,1,0.11278875632102409
2,techn,4,0.40334116948490406
2,libr,8,0.5419526262276546
2,report,1,0.1188854987743119
2,analys,1,0.0924693574336672
2,6300,1,0.3955812769917871
2,act,2,0.2173593988222956
2,104,1,0.3955812769917871
2,unit,1,0.15283606339682793
2,kingdom,1,0.270914666843522
2,on,2,0.18548720521106293
2,aspect,1,0.14764021916425185
2,wid,1,0.16252289279090792
2,pattern,1,0.1574386947558201
2,inform,7,0.4434429347135224
2,transf,2,0.43523680109074175
2,restrict,1,0.2217233056226492
2,docu,2,0.20802580488989758
2,tak,2,0.28954911141157824
2,account,1,0.17050132475962412
2,outsid,1,0.23640182163050794
2,stil,1,0.208577355602093
2,less,1,0.16972052929444933
2,transfer,2,0.5803330184572565
2,or,1,0.3083584525442637
2,person,3,0.509161587883348
2,channel,1,0.23640182163050794
2,proport,2,0.4240162534231529
2,situ,1,0.17210062412746183
2,whol,1,0.18938339252288847
2,doubt,1,0.2610908204942319
2,maj,1,0.13119968561113537
2,particul,1,0.1272301035621038
2,technolog,1,0.14207283972150095
2,rath,1,0.1652774118417399
2,sci,1,0.07950755556186202
2,visit,1,0.2829545085735135
2,rar,1,0.24908759515731257
2,rely,1,0.21200812671157646
2,desk,1,0.3083584525442637
2,collect,1,0.11784991976217714
2,handbook,1,0.270914666843522
2,cur,1,0.12786786707142034
2,period,1,0.14340431487915095
2,contact,1,0.270914666843522
2,colleagu,1,0.2610908204942319
2,peopl,1,0.18194538230279972
2,org,1,0.11734129290763466
2,ev,1,0.13869697542786974
2,regul,1,0.21761840054537088
2,also,1,0.1139403943161008
2,receiv,1,0.18294355594129857
2,way,1,0.13296221107209202
3,two,1,0.1263723687568472
3,kind,1,0.19308777736191923
3,pow,6,1.4789527713151205
3,essay,1,0.264047966255327
3,bibliograph,4,0.5458867227419126
3,control,7,1.2452882841967052
3,rel,1,0.10237552539572259
3,org,2,0.2682086695031649
3,writ,5,0.899649684318972
3,knowledg,6,1.0192127393826642
3,inform,3,0.21719653945152118
3,inevit,1,0.3037457125099007
3,ent,1,0.2701735104348662
3,story,1,0.3662115836277729
3,contain,2,0.399085536869209
3,along,1,0.24435667140760287
3,much,1,0.1820386459044602
3,els,1,0.34114038856020934
3,gre,1,0.16236895968171536
3,deal,1,0.1806240014196908
3,mankind,1,0.3662115836277729
3,stock,1,0.3037457125099007
3,form,3,0.3303439742834991
3,famili,1,0.28467153732264294
3,slog,1,0.45209288799061376
3,claim,1,0.264047966255327
3,certain,1,0.17162019680629295
3,sens,1,0.21911359425277654
3,obtain,1,0.17404616583788524
3,record,1,0.17281976565915738
3,simply,2,0.5693430746452859
3,simpl,1,0.19396631919365637
3,way,1,0.15195681265381944
3,storeh,1,0.40913105385112286
3,cannot,1,0.2584876164301127
3,satisfact,1,0.2312327275373079
3,discuss,1,0.11681883654255579
4,system,1,0.11337622394094585
4,analys,1,0.14795097189386752
4,univers,3,0.5783363370693033
4,libr,5,0.5419526262276546
4,fin,1,0.26111552468294036
4,report,2,0.3804335960777981
4,research,2,0.2811210975557048
4,project,1,0.2370161715558728
4,est,1,0.23466500856250586
4,nin,1,0.3481894408725934
4,new,1,0.16701122034402327
4,1960,1,0.3929932749662196
4,provok,1,0.5376246142811297
4,high,1,0.23389717849143088
4,stim,1,0.45272721371762165
4,re-examination,1,0.572783475391572
4,nat,1,0.1679073135710136
4,purpos,1,0.21216673269842792
4,man,1,0.1940959416620021
4,academ,2,0.49443567549238665
4,long-established,1,0.572783475391572
4,attitud,1,0.34508897997352816
4,method,1,0.16215621524057672
4,quest,1,0.2225693296973819
4,although,1,0.2835687555993049
4,chang,2,0.45603995067462927
4,mad,1,0.18046201011363855
4,bas,1,0.1289116441897756
4,difficul,1,0.3261146296620346
4,remain,1,0.31914564334932755
4,lack,1,0.34508897997352816
4,object,1,0.23544068188500977
4,inform,1,0.10135838507737656
4,best,1,0.3048647972309037
4,way,1,0.21273953771534726
4,provid,2,0.32653181158330824
4,serv,1,0.14861036560100502
4,ugc,1,0.572783475391572
4,commit,1,0.30869810500146433
4,parry,1,0.572783475391572
4,repot,1,0.572783475391572
4,267,1,0.5376246142811297
4,gen,1,0.14861036560100502
4,endors,1,0.572783475391572
4,also,1,0.1823046309057613
4,stressed,1,0.45272721371762165
4,nee,1,0.16642064391191808
4,aspect,1,0.23622435066280298
5,libr,1,0.0903254377046091
5,man,3,0.48523985415500526
5,gam,6,2.5634810853944106
5,report,1,0.1585139983657492
5,research,1,0.11713379064821033
5,project,1,0.19751347629656063
5,although,1,0.23630729633275405
5,us,5,0.372663566673816
5,profess,2,0.38730743428715664
5,educ,2,0.41202972957698886
5,becom,2,0.41052346849750376
5,widespread,1,0.34812109399230917
5,last,1,0.23751845418570652
5,decad,1,0.2697715154601925
5,method,1,0.13513017936714725
5,numb,1,0.15130129611693588
5,field,1,0.15645505721017955
5,many,2,0.30958779558307314
5,hundr,1,0.29853710987190035
5,year,1,0.15068878522315973
5,origin,1,0.21237842022187026
5,trac,1,0.3370615746407991
5,simpl,1,0.22629403905926576
5,war,1,0.33211679354308343
5,milit,1,0.36121955579136267
5,train,1,0.26783667937934286
5,real,1,0.23630729633275405
5,thing,1,0.32749439580518297
5,eith,1,0.23167049382271668
5,unavail,1,0.42724684756573506
5,dang,1,0.377272678098018
5,rec,1,0.20378141786243723
5,tim,1,0.15130129611693588
5,soph,2,0.6741231492815982
5,larg,1,0.15446737684873088
5,electron,1,0.28757414997794006
5,comput,2,0.2823813965893792
5,handl,1,0.24128868589018088
5,complex,1,0.24128868589018088
5,calc,1,0.3047375871368505
5,involv,1,0.21407178897408657
5,sint,1,0.19953515343188194
5,1956,1,0.3868886789715043
5,first,1,0.1624900136013121
5,well-developed,1,0.47731956282631005
5,introduc,1,0.21493525475683953
5,techn,2,0.26889411298993604
5,spread,1,0.35436999792821744
5,rapid,3,0.6639631344326583
5,wid,1,0.21669719038787721
5,vary,1,0.1384394736316154
5,disciplin,1,0.2339487229268548
5,today,1,0.2738119467395208
5,level,1,0.22425973244584413
5,prim,1,0.20601486478849443
5,school,1,0.24952668402636136
5,class,1,0.16595702947624308
5,cours,1,0.23279989650703858
5,expery,1,0.15068878522315973
5,men,1,0.31906698815925016
5,wom,1,0.4111446033923516
5,on,1,0.12365813680737528
